First Name,Last Name,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Longest Pass,Sacks Taken,Rush Attempts,Rush Yards Gained,Rush Yards Lost,Net Rush Yards,Rushing TDs,Longest Rush,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Longest Reception,GameID,Link,Date,Home Team,Away Team,Home Score,Away Score,Texas Result
Colt,McCoy,32,41,0,396,4,68,3,12,44,15,29,0,11,2.4,,,,,kansas_texas_11_21_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
Garrett,Gilbert,0,1,0,0,0,0,0,,,,,,,,,,,,kansas_texas_11_21_2010,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
,Total,32,42,0,396,4,68,3,40,153,17,136,2,19,3.4,32,396,4,68,kansas_texas_11_21_2011,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
Tre',Newton,,,,,,,,12,66,0,66,1,19,5.5,,,,,kansas_texas_11_21_2012,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
Vondrell,McGee,,,,,,,,3,15,0,15,0,8,5,,,,,kansas_texas_11_21_2013,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
Cody,Johnson,,,,,,,,8,16,1,15,1,4,1.9,,,,,kansas_texas_11_21_2014,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
Foswhitt,Whittaker,,,,,,,,4,11,1,10,0,9,2.5,,,,,kansas_texas_11_21_2015,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
Marquise,Goodwin,,,,,,,,1,1,0,1,0,1,1,,,,,kansas_texas_11_21_2016,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
 Jordan,Shipley,,,,,,,,,,,,,,,10,108,1,38,kansas_texas_11_21_2017,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
 James,Kirkendoll,,,,,,,,,,,,,,,8,86,2,41,kansas_texas_11_21_2018,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
 Malcolm,Williams,,,,,,,,,,,,,,,6,103,1,68,kansas_texas_11_21_2019,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
 Tre',Newton,,,,,,,,,,,,,,,3,36,0,17,kansas_texas_11_21_2020,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
 Marquise,Goodwin,,,,,,,,,,,,,,,2,34,0,34,kansas_texas_11_21_2021,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
 John,Chiles,,,,,,,,,,,,,,,2,16,0,14,kansas_texas_11_21_2022,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win
 Dan,Buckner,,,,,,,,,,,,,,,1,13,0,13,kansas_texas_11_21_2023,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,11/21/2009,texas,kansas,51,20,Win